EmployeeID,Age,Gender,Department,Tenure,Location,SelfRatedHealth,ChronicConditions,SickDaysPastYear,StressLevel,Employee_Feedback,CurrentWorkAbility,WorkAbilityPhysical,WorkAbilityMental,Calculated_ABI_Score
EMP00186,23,Male,Operations,15,Tokyo,4,Yes,3,1.0,I feel energized at work.,8,2,2,30
EMP00187,23,F,Sales,2,New York,5,No,1,4.0,I feel energized at work.,6,5,4,39
EMP00188,49,Female,Marketing,17,Remote,4,No,1,6.0,It pays the bills.,10,1,5,37
EMP00189,44,female,IT,8,London,3,No,7,6.0,Average experience.,6,3,3,31
EMP00190,58,Female,IT,22,Tokyo,3,No,5,7.0,Standard corporate environment.,5,2,2,24
EMP00191,53,Male,IT,22,New York,4,Yes,4,10.0,Terrible work-life balance.,6,1,3,25
EMP00192,54,Male,Marketing,9,London,5,Yes,0,7.0,It pays the bills.,10,3,4,41
EMP00193,22,Female,Marketing,21,Tokyo,3,Yes,2,4.0,Love the culture here.,6,5,2,35
EMP00194,40,Male,IT,20,Berlin,2,No,10,10.0,Terrible work-life balance.,2,1,3,17
EMP00195,23,Female,Marketing,11,London,2,Yes,6,6.0,Work is okay.,6,4,3,34
EMP00196,47,Male,Sales,6,Berlin,3,No,3,6.0,It pays the bills.,10,5,3,45
EMP00197,53,Male,Sales,24,New York,3,No,1,4.0,I feel energized at work.,9,2,2,32
EMP00198,27,Female,Finance,14,Remote,5,Yes,2,4.0,Excellent benefits.,8,5,2,39
EMP00199,53,Female,Operations,1,New York,3,Yes,5,9.0,Management expects too much.,9,5,3,43
EMP00200,25,Female,Sales,7,London,3,No,6,1.0,Love the culture here.,6,3,4,33
EMP00201,32,Male,Finance,24,Berlin,3,No,9,5.0,Work is okay.,6,2,4,30
EMP00202,38,Female,HR,9,Berlin,5,No,4,9.0,I need a long break.,9,3,5,41
EMP00203,59,Male,Operations,11,Tokyo,3,No,6,9.0,I am exhausted every day.,4,5,5,37
EMP00204,45,Male,Sales,24,New York,3,No,5,9.0,Extremely stressed and burnt out.,4,1,2,19
EMP00205,26,Female,HR,23,New York,2,No,3,2.0,Great work-life balance.,9,4,2,38
EMP00206,55,Male,Finance,16,London,3,No,4,7.0,Work is okay.,6,4,4,36
EMP00207,27,Male,Sales,19,Berlin,4,No,4,8.0,Terrible work-life balance.,8,3,5,39
EMP00208,43,Male,Sales,2,London,3,No,5,1.0,Great work-life balance.,8,1,4,31
EMP00209,32,Male,Marketing,15,London,3,No,2,2.0,Management is very supportive.,4,4,2,28
EMP00210,37,Male,HR,3,Berlin,4,No,3,1.0,Great work-life balance.,4,1,3,21
EMP00211,54,Male,Sales,4,London,3,No,5,9.0,I need a long break.,4,3,5,31
EMP00212,30,Male,IT,20,Berlin,2,No,6,7.0,Work is okay.,5,2,2,24
EMP00213,27,Male,Marketing,22,London,5,No,7,5.0,Work is okay.,5,1,5,27
EMP00214,37,Female,Marketing,7,Remote,3,No,3,4.0,Great work-life balance.,10,1,4,35
EMP00215,50,Male,Sales,12,London,4,No,3,8.0,I am exhausted every day.,4,2,5,28
EMP00216,24,Male,Marketing,4,London,4,No,1,3.0,Management is very supportive.,10,5,2,43
EMP00217,41,Male,Operations,10,Remote,5,No,4,8.0,Extremely stressed and burnt out.,9,5,2,41
EMP00218,57,Female,HR,6,New York,3,No,3,3.0,I feel energized at work.,8,5,2,39
EMP00219,40,F,Operations,22,Berlin,3,Yes,4,6.0,Work is okay.,4,3,5,31
EMP00220,47,Female,Finance,14,Tokyo,3,Yes,3,4.0,Excellent benefits.,4,5,3,33
EMP00221,24,Female,Operations,3,Remote,3,No,3,8.0,Terrible work-life balance.,8,3,3,35
EMP00222,40,Female,IT,17,New York,3,No,1,9.0,I am exhausted every day.,2,2,1,16
EMP00223,41,Female,Marketing,11,London,5,Yes,5,5.0,It pays the bills.,8,1,5,33
EMP00224,53,Female,Marketing,10,New York,4,No,6,3.0,I feel energized at work.,8,4,5,42
EMP00225,28,Male,IT,21,Remote,3,No,6,10.0,Terrible work-life balance.,4,4,2,28
EMP00226,62,Male,Marketing,10,London,3,No,1,4.0,I feel energized at work.,10,3,5,43
EMP00227,54,Male,Operations,10,New York,2,Yes,2,8.0,Management expects too much.,9,3,3,37
EMP00228,61,male,Finance,3,Tokyo,4,No,5,5.0,It pays the bills.,4,1,4,23
EMP00229,60,Female,Sales,24,Berlin,3,No,4,5.0,Average experience.,9,2,3,34
EMP00230,39,Female,IT,15,Berlin,3,No,4,7.0,Standard corporate environment.,3,1,2,17
EMP00231,61,Male,Operations,17,Remote,5,No,4,9.0,I need a long break.,9,3,3,37
EMP00232,22,Female,Operations,18,London,3,No,9,6.0,Nothing special to report.,10,1,5,37
EMP00233,32,Male,Operations,19,London,4,Yes,7,1.0,Love the culture here.,5,3,4,31
EMP00234,49,Male,Sales,19,Berlin,3,No,2,3.0,Excellent benefits.,6,4,3,34
EMP00235,46,M,HR,12,New York,4,No,10,4.0,Love the culture here.,6,1,2,23
EMP00236,44,Female,Marketing,24,London,3,Yes,2,2.0,I feel energized at work.,10,2,2,34
EMP00237,52,Male,Marketing,5,Tokyo,3,No,8,4.0,Great work-life balance.,4,4,5,34
EMP00238,51,M,Finance,24,Tokyo,5,No,7,2.0,Love the culture here.,10,2,2,34
EMP00239,63,Male,HR,16,London,4,No,6,6.0,Nothing special to report.,4,2,3,24
EMP00240,56,female,Marketing,15,London,3,Yes,4,9.0,Extremely stressed and burnt out.,10,3,4,41
EMP00241,28,Male,Finance,15,Berlin,3,No,2,1.0,Excellent benefits.,4,2,4,26
EMP00242,37,Male,Finance,6,Remote,1,No,3,5.0,It pays the bills.,6,5,3,37
EMP00243,47,Male,Operations,12,Berlin,4,No,3,9.0,I am exhausted every day.,9,2,4,36
EMP00244,23,Male,IT,2,Remote,3,No,4,8.0,Terrible work-life balance.,7,1,3,27
EMP00245,22,Male,Operations,20,Tokyo,4,No,4,7.0,Nothing special to report.,4,3,5,31
EMP00246,33,Female,Sales,9,Remote,3,No,1,6.0,Standard corporate environment.,9,3,2,35
EMP00247,26,F,Marketing,4,Berlin,3,No,5,7.0,Standard corporate environment.,7,5,3,39
EMP00248,58,Female,Finance,5,London,4,No,6,9.0,I need a long break.,10,3,4,41
EMP00249,53,Male,IT,21,Remote,3,No,7,8.0,Extremely stressed and burnt out.,2,3,3,23
EMP00250,30,Female,Marketing,8,Berlin,4,Yes,7,8.0,Management expects too much.,6,4,3,34
EMP00251,62,Male,Finance,22,Tokyo,3,No,4,1.0,Management is very supportive.,7,4,2,34
EMP00252,56,Male,Finance,10,Remote,3,No,6,6.0,Work is okay.,6,4,3,34
EMP00253,40,Female,Operations,7,Tokyo,3,No,5,9.0,Management expects too much.,10,5,4,47
EMP00254,37,Female,IT,22,Tokyo,1,No,5,6.0,Standard corporate environment.,7,3,2,31
EMP00255,24,Male,IT,14,New York,3,No,4,10.0,Management expects too much.,3,3,2,23
EMP00256,41,Male,Marketing,5,Remote,3,No,3,8.0,Extremely stressed and burnt out.,10,3,4,41
EMP00257,45,Other,Finance,16,Berlin,4,Yes,7,6.0,It pays the bills.,9,2,5,38
EMP00258,54,Male,IT,15,Remote,2,Yes,3,8.0,Terrible work-life balance.,4,3,2,25
EMP00259,45,Female,IT,5,Remote,3,No,5,6.0,It pays the bills.,7,3,1,29
EMP00260,32,Female,Marketing,3,Tokyo,3,No,3,4.0,Great work-life balance.,10,1,3,33
EMP00261,29,Male,Operations,23,Tokyo,1,No,3,8.0,Terrible work-life balance.,4,1,5,25
EMP00262,57,Male,HR,10,Tokyo,1,No,4,6.0,Standard corporate environment.,8,3,5,39
EMP00263,59,Male,Sales,5,Tokyo,3,No,2,9.0,Extremely stressed and burnt out.,10,2,3,36
EMP00264,61,Female,HR,23,Berlin,3,No,4,1.0,Love the culture here.,9,2,2,32
EMP00265,41,Female,IT,15,London,2,No,4,7.0,Nothing special to report.,3,5,3,31
EMP00266,56,Female,Finance,18,New York,2,Yes,6,1.0,Great work-life balance.,10,5,5,49
EMP00267,46,Other,Sales,8,Tokyo,4,No,2,4.0,Management is very supportive.,7,3,5,37
EMP00268,56,Female,Sales,21,Tokyo,4,No,10,9.0,Management expects too much.,5,4,5,36
EMP00269,46,Female,Finance,2,New York,3,No,4,4.0,Great work-life balance.,9,2,4,36
EMP00270,50,Female,Sales,22,Tokyo,5,No,4,5.0,Average experience.,9,4,5,44
EMP00271,39,Female,Finance,8,London,1,No,3,6.0,Nothing special to report.,8,5,2,39
EMP00272,39,Female,Sales,23,Remote,3,No,3,5.0,Standard corporate environment.,9,2,2,32
EMP00273,23,Female,Marketing,8,New York,4,No,6,4.0,Excellent benefits.,10,4,3,42
EMP00274,56,Female,Marketing,4,Berlin,4,No,4,2.0,Management is very supportive.,8,3,4,37
EMP00275,37,Male,HR,19,New York,5,No,3,8.0,I am exhausted every day.,5,4,3,32
EMP00276,62,Female,Sales,23,London,5,Yes,2,3.0,Management is very supportive.,5,5,3,35
EMP00277,57,Male,Operations,18,Berlin,2,No,3,1.0,I feel energized at work.,7,2,2,28
EMP00278,54,Male,Finance,21,Remote,5,No,3,7.0,Nothing special to report.,5,2,3,26
EMP00279,25,Male,Sales,23,Tokyo,5,No,4,8.0,I am exhausted every day.,8,2,2,30
EMP00280,54,Female,Marketing,1,New York,3,No,5,7.0,Nothing special to report.,10,3,2,37
EMP00281,35,Female,Marketing,20,Berlin,5,No,4,4.0,I feel energized at work.,5,2,5,30
EMP00282,42,Male,Finance,15,New York,1,No,2,8.0,Terrible work-life balance.,4,4,5,34
EMP00283,41,Female,Operations,18,Remote,4,No,2,4.0,I feel energized at work.,5,1,2,21
EMP00284,29,Female,Sales,22,New York,3,No,2,5.0,Nothing special to report.,7,1,4,29
EMP00285,28,Male,Sales,12,Berlin,2,No,2,8.0,I am exhausted every day.,10,3,4,41
EMP00286,24,Female,Operations,1,London,3,No,3,2.0,Love the culture here.,6,4,5,38
