EmployeeID,Age,Gender,Department,Tenure,Location,SelfRatedHealth,ChronicConditions,SickDaysPastYear,StressLevel,Employee_Feedback,CurrentWorkAbility,WorkAbilityPhysical,WorkAbilityMental,Calculated_ABI_Score,Sentiment_Score,At_Risk
EMP00043,30,Female,Marketing,18,Remote,4,No,3,5.0,It pays the bills.,4,4,5,34,0.0,1
EMP00044,47,Male,Marketing,6,London,2,No,5,9.0,Terrible work-life balance.,8,2,5,36,-1.0,1
EMP00045,23,F,Finance,7,London,4,Yes,2,6.0,Nothing special to report.,5,1,4,25,0.35714285714285715,1
EMP00046,41,Female,Sales,24,Tokyo,3,No,2,3.0,Great work-life balance.,4,4,4,32,0.8,1
EMP00047,49,Male,IT,24,London,4,No,3,6.0,Work is okay.,4,3,2,25,0.5,1
EMP00048,28,Male,Operations,16,New York,4,No,4,7.0,Work is okay.,5,3,2,27,0.5,1
EMP00049,29,Female,Finance,9,London,3,No,4,4.0,Excellent benefits.,5,2,3,26,1.0,1
EMP00050,56,Male,HR,13,Berlin,4,No,6,4.0,I feel energized at work.,9,3,5,41,0.0,0
EMP00051,35,M,Marketing,12,Tokyo,4,No,3,1.0,I feel energized at work.,8,3,4,37,0.0,0
EMP00052,38,Male,Marketing,19,Tokyo,4,No,5,3.0,Great work-life balance.,5,1,4,25,0.8,1
EMP00053,57,male,Operations,23,Tokyo,3,Yes,4,9.0,I am exhausted every day.,5,2,5,30,-0.4,1
EMP00054,61,Female,Sales,23,Berlin,3,No,4,1.0,I feel energized at work.,4,5,5,37,0.0,0
EMP00055,25,Male,Sales,1,Remote,4,No,2,2.0,Great work-life balance.,7,5,5,43,0.8,0
EMP00056,23,Male,Operations,8,New York,5,No,6,2.0,Great work-life balance.,8,3,2,33,0.8,1
EMP00057,27,Female,Operations,4,Tokyo,3,No,8,8.0,Management expects too much.,6,3,2,29,0.2,1
EMP00058,63,Female,Finance,21,London,1,No,5,6.0,Average experience.,7,1,5,31,-0.15,1
EMP00059,25,Female,Operations,22,New York,3,No,4,7.0,Average experience.,8,5,4,43,-0.15,0
EMP00060,50,Male,HR,19,London,3,No,8,4.0,I feel energized at work.,7,2,3,30,0.0,1
EMP00061,39,Male,Finance,21,New York,4,Yes,4,4.0,I feel energized at work.,10,2,5,40,0.0,0
EMP00062,47,Male,Marketing,5,New York,4,Yes,3,4.0,Great work-life balance.,9,4,5,44,0.8,0
EMP00063,55,Female,Marketing,17,London,5,No,3,6.0,Nothing special to report.,7,4,2,34,0.35714285714285715,1
EMP00064,31,Male,Marketing,3,London,4,No,1,4.0,Excellent benefits.,9,2,5,38,1.0,0
EMP00065,57,Female,Marketing,19,New York,3,No,7,1.0,I feel energized at work.,4,4,2,28,0.0,1
EMP00066,35,Female,IT,1,Tokyo,4,No,2,6.0,Standard corporate environment.,2,1,3,17,0.0,1
EMP00067,52,male,HR,23,London,4,No,4,8.0,Terrible work-life balance.,10,3,5,43,-1.0,0
EMP00068,36,Male,Finance,1,Berlin,5,No,6,5.0,Work is okay.,6,2,5,32,0.5,1
EMP00069,29,Male,Finance,23,Berlin,2,No,5,9.0,Terrible work-life balance.,10,5,2,43,-1.0,0
EMP00070,35,Female,Marketing,20,New York,2,Yes,2,8.0,Extremely stressed and burnt out.,8,5,2,39,-0.125,0
EMP00071,44,Female,Sales,9,Remote,2,No,3,1.0,Love the culture here.,8,2,5,36,0.5,1
EMP00072,61,Male,Finance,23,New York,3,No,3,8.0,Terrible work-life balance.,5,4,4,34,-1.0,1
EMP00073,42,male,HR,5,New York,2,No,8,9.0,Management expects too much.,9,4,5,44,0.2,0
EMP00074,37,M,Operations,7,Tokyo,4,No,6,4.0,Excellent benefits.,9,2,3,34,1.0,1
EMP00075,39,Male,HR,6,Tokyo,4,No,2,7.0,It pays the bills.,10,2,5,40,0.0,0
EMP00076,45,Male,Marketing,17,Remote,3,No,2,4.0,Great work-life balance.,4,2,2,22,0.8,1
EMP00077,47,Female,Marketing,22,Remote,3,No,5,3.0,Excellent benefits.,9,1,2,29,1.0,1
EMP00078,46,Female,IT,17,Remote,5,Yes,3,8.0,Terrible work-life balance.,5,5,1,31,-1.0,1
EMP00079,62,Male,Finance,13,Remote,3,No,5,1.0,Management is very supportive.,8,1,2,27,0.65,1
EMP00080,50,Female,Finance,12,Remote,3,Yes,4,2.0,Love the culture here.,6,1,5,29,0.5,1
EMP00081,36,Female,Finance,4,New York,3,No,3,7.0,It pays the bills.,9,3,3,37,0.0,0
EMP00082,22,Male,Marketing,8,New York,3,No,2,6.0,It pays the bills.,7,1,5,31,0.0,1
EMP00083,46,Female,Finance,5,Berlin,2,No,5,8.0,Terrible work-life balance.,7,5,4,41,-1.0,0
EMP00084,28,female,Sales,5,Berlin,4,Yes,4,3.0,Management is very supportive.,9,4,3,40,0.65,0
EMP00085,30,Male,Sales,13,London,5,No,5,6.0,Work is okay.,9,5,3,43,0.5,0
EMP00086,45,Male,Operations,11,New York,4,No,2,6.0,It pays the bills.,6,2,3,28,0.0,1
EMP00087,22,Female,Finance,8,Remote,3,Yes,3,2.0,Excellent benefits.,5,2,4,28,1.0,1
EMP00088,29,F,IT,8,London,3,No,3,6.0,Work is okay.,2,2,2,18,0.5,1
EMP00089,45,female,Operations,1,Tokyo,5,No,3,2.0,Love the culture here.,10,1,4,35,0.5,1
EMP00090,32,Female,Marketing,13,New York,4,No,9,5.0,Work is okay.,6,3,4,33,0.5,1
EMP00091,38,Female,Finance,5,Berlin,3,No,4,6.0,Standard corporate environment.,8,4,4,40,0.0,0
EMP00092,29,Female,Sales,21,New York,3,No,6,3.0,Management is very supportive.,5,1,5,27,0.65,1
EMP00093,56,Female,IT,8,New York,4,Yes,2,7.0,Average experience.,2,2,2,18,-0.15,1
EMP00094,56,Male,Operations,17,New York,3,No,4,7.0,It pays the bills.,5,5,3,35,0.0,1
EMP00095,54,Male,IT,23,New York,2,No,2,6.0,Average experience.,7,2,2,28,-0.15,1
EMP00096,26,Male,Finance,23,Tokyo,3,No,8,8.0,Terrible work-life balance.,9,5,3,43,-1.0,0
EMP00097,63,Female,HR,13,Berlin,3,No,3,7.0,Nothing special to report.,7,4,5,40,0.35714285714285715,0
EMP00098,60,Male,IT,9,New York,3,No,2,8.0,Terrible work-life balance.,3,2,3,22,-1.0,1
EMP00099,62,male,IT,2,Tokyo,3,No,1,10.0,Extremely stressed and burnt out.,2,4,3,26,-0.125,1
EMP00100,49,Male,Marketing,19,London,1,No,3,4.0,I feel energized at work.,6,2,5,32,0.0,1
EMP00101,28,Male,Sales,20,New York,4,No,1,5.0,Average experience.,4,2,4,26,-0.15,1
EMP00102,30,Female,Finance,17,Tokyo,4,No,5,4.0,Great work-life balance.,9,5,2,41,0.8,0
EMP00103,29,Female,IT,7,Remote,2,No,4,10.0,Extremely stressed and burnt out.,5,3,3,29,-0.125,1
EMP00104,33,Male,Finance,3,London,5,No,2,1.0,Excellent benefits.,6,5,2,35,1.0,1
EMP00105,55,Male,Sales,19,Berlin,3,No,6,5.0,It pays the bills.,8,1,3,29,0.0,1
EMP00106,54,female,Marketing,19,New York,1,Yes,3,4.0,Excellent benefits.,8,4,2,36,1.0,1
EMP00107,44,Male,Finance,24,New York,3,No,6,3.0,Management is very supportive.,5,4,4,34,0.65,1
EMP00108,45,Male,Sales,9,Tokyo,4,No,5,9.0,I need a long break.,10,3,2,37,-0.05,0
EMP00109,58,M,Sales,10,Berlin,3,Yes,3,1.0,I feel energized at work.,9,2,4,36,0.0,1
EMP00110,56,Male,Operations,14,Remote,2,No,6,5.0,Standard corporate environment.,7,4,5,40,0.0,0
EMP00111,61,Female,Marketing,18,London,4,No,8,2.0,Excellent benefits.,5,3,3,29,1.0,1
EMP00112,43,Male,Marketing,15,Berlin,3,No,4,5.0,Nothing special to report.,8,1,5,33,0.35714285714285715,1
EMP00113,48,Male,Finance,1,New York,4,No,5,5.0,Work is okay.,10,4,3,42,0.5,0
EMP00114,56,Male,HR,6,Tokyo,4,Yes,4,1.0,I feel energized at work.,7,1,4,29,0.0,1
EMP00115,22,Male,Operations,15,Remote,5,No,1,4.0,Excellent benefits.,10,5,5,49,1.0,0
EMP00116,56,Male,Marketing,6,Tokyo,2,No,5,7.0,It pays the bills.,6,4,4,36,0.0,1
EMP00117,58,Male,Sales,18,London,1,No,4,1.0,Love the culture here.,9,4,4,42,0.5,0
EMP00118,35,Female,Marketing,1,Berlin,5,No,3,2.0,Management is very supportive.,5,2,5,30,0.65,1
EMP00119,24,Male,HR,24,Tokyo,4,No,4,4.0,Management is very supportive.,4,1,2,19,0.65,1
EMP00120,22,Female,IT,3,Tokyo,4,No,4,7.0,Nothing special to report.,3,5,3,31,0.35714285714285715,1
EMP00121,26,F,IT,17,New York,2,No,2,7.0,Nothing special to report.,3,3,1,21,0.35714285714285715,1
EMP00122,47,Female,Marketing,16,Tokyo,2,No,3,2.0,Love the culture here.,7,5,2,37,0.5,0
EMP00123,35,Male,Marketing,8,Remote,2,No,9,1.0,Management is very supportive.,10,4,5,46,0.65,1
EMP00124,60,female,Operations,17,Berlin,3,Yes,5,2.0,Excellent benefits.,9,1,5,35,1.0,1
EMP00125,48,Male,Marketing,8,London,2,No,4,5.0,It pays the bills.,10,4,3,42,0.0,0
EMP00126,30,Male,HR,17,Tokyo,3,No,2,4.0,I feel energized at work.,9,3,2,35,0.0,1
EMP00127,36,Female,Marketing,9,Remote,3,No,5,5.0,It pays the bills.,9,3,5,41,0.0,0
EMP00128,36,Female,Finance,12,London,1,No,5,1.0,I feel energized at work.,7,4,5,40,0.0,0
EMP00129,47,Female,HR,19,Remote,2,No,4,7.0,Standard corporate environment.,8,4,4,40,0.0,0
EMP00130,63,Male,Operations,4,Tokyo,3,No,4,5.0,Nothing special to report.,8,4,4,40,0.35714285714285715,0
EMP00131,34,Female,Finance,21,Tokyo,2,No,13,7.0,It pays the bills.,10,1,5,37,0.0,1
EMP00132,53,Male,Finance,22,Berlin,2,No,1,9.0,I need a long break.,7,2,4,32,-0.05,1
EMP00133,60,male,IT,11,New York,3,No,6,6.0,Work is okay.,7,3,3,33,0.5,1
EMP00134,53,Male,HR,4,Remote,3,No,4,8.0,Extremely stressed and burnt out.,10,1,4,35,-0.125,1
EMP00135,25,F,Finance,14,New York,4,No,3,4.0,Excellent benefits.,8,3,4,37,1.0,0
EMP00136,51,Female,Operations,14,New York,2,No,5,9.0,Management expects too much.,5,4,2,30,0.2,1
EMP00137,58,M,IT,6,London,4,Yes,10,10.0,I am exhausted every day.,4,3,1,23,-0.4,1
EMP00138,44,Female,Finance,17,London,4,No,3,2.0,Excellent benefits.,5,5,4,37,1.0,0
EMP00139,60,Female,HR,2,Remote,4,No,3,9.0,I need a long break.,8,3,3,35,-0.05,1
EMP00140,36,Male,IT,8,New York,1,Yes,5,10.0,Terrible work-life balance.,6,5,2,35,-1.0,1
EMP00141,64,Male,HR,4,Berlin,3,No,5,3.0,Great work-life balance.,4,1,4,23,0.8,1
EMP00142,50,Male,HR,10,New York,4,No,4,1.0,I feel energized at work.,5,1,4,25,0.0,1
EMP00143,57,F,HR,7,London,5,No,2,6.0,Nothing special to report.,4,5,5,37,0.35714285714285715,0
EMP00144,34,M,IT,4,New York,5,No,4,7.0,Work is okay.,4,3,3,27,0.5,1
EMP00145,53,Female,Finance,16,Tokyo,3,No,3,5.0,Standard corporate environment.,9,1,2,29,0.0,1
EMP00146,28,Male,Marketing,14,Tokyo,4,Yes,4,8.0,I need a long break.,6,3,5,35,-0.05,1
EMP00147,43,Male,Sales,16,Berlin,4,No,3,1.0,Excellent benefits.,4,2,4,26,1.0,1
EMP00148,49,Female,Finance,9,Remote,4,No,2,1.0,I feel energized at work.,5,2,4,28,0.0,1
EMP00149,23,Female,IT,4,New York,3,No,4,7.0,Work is okay.,7,5,2,37,0.5,0
EMP00150,63,Female,Sales,24,Tokyo,3,No,8,1.0,I feel energized at work.,5,5,4,37,0.0,0
EMP00151,27,Other,Sales,6,Remote,2,Yes,5,9.0,Management expects too much.,7,3,5,37,0.2,0
EMP00152,49,Male,Sales,1,Tokyo,3,No,2,7.0,Work is okay.,6,2,3,28,0.5,1
EMP00153,49,Female,Marketing,7,Remote,4,No,4,7.0,Nothing special to report.,10,2,5,40,0.35714285714285715,0
EMP00154,41,Female,Operations,1,Remote,5,No,4,8.0,Extremely stressed and burnt out.,7,5,2,37,-0.125,0
EMP00155,51,Male,IT,19,Tokyo,4,Yes,0,10.0,I am exhausted every day.,5,4,1,28,-0.4,1
EMP00156,32,Male,Marketing,8,London,3,No,2,1.0,I feel energized at work.,7,3,3,33,0.0,1
EMP00157,49,Male,Marketing,3,Remote,4,Yes,2,4.0,Great work-life balance.,6,3,5,35,0.8,1
EMP00158,46,F,Operations,1,New York,3,No,6,9.0,I am exhausted every day.,8,1,5,33,-0.4,1
EMP00159,60,Female,Sales,1,Tokyo,4,No,2,3.0,Management is very supportive.,7,5,2,37,0.65,0
EMP00160,54,Female,Operations,7,London,4,No,2,6.0,It pays the bills.,6,1,4,27,0.0,1
EMP00161,22,male,Operations,21,Tokyo,3,No,2,4.0,Excellent benefits.,7,4,3,36,1.0,1
EMP00162,48,Female,Marketing,13,Berlin,3,No,7,1.0,Excellent benefits.,10,1,3,33,1.0,1
EMP00163,34,Male,IT,1,New York,2,Yes,4,8.0,Extremely stressed and burnt out.,6,4,2,32,-0.125,1
EMP00164,62,Female,HR,16,Berlin,2,No,5,3.0,Excellent benefits.,8,1,5,33,1.0,1
EMP00165,24,Female,Operations,22,Remote,4,No,2,3.0,I feel energized at work.,8,5,5,45,0.0,0
EMP00166,60,Female,Operations,22,Remote,1,No,1,6.0,Standard corporate environment.,6,4,4,36,0.0,1
EMP00167,27,Female,Sales,14,Berlin,2,Yes,5,9.0,I am exhausted every day.,9,3,3,37,-0.4,0
EMP00168,29,Female,Sales,4,Berlin,3,No,3,7.0,Average experience.,4,5,3,33,-0.15,1
EMP00169,48,Male,Marketing,23,Remote,4,No,2,7.0,Nothing special to report.,6,5,3,37,0.35714285714285715,0
EMP00170,30,M,Sales,23,London,3,No,4,1.0,I feel energized at work.,4,2,3,24,0.0,1
EMP00171,58,Male,Finance,12,New York,2,No,4,9.0,Terrible work-life balance.,6,3,3,31,-1.0,1
EMP00172,54,Male,Operations,12,Tokyo,4,No,3,4.0,Excellent benefits.,4,1,4,23,1.0,1
EMP00173,63,Male,Sales,17,Berlin,3,No,5,8.0,I need a long break.,7,5,3,39,-0.05,0
EMP00174,45,Male,IT,21,New York,3,Yes,2,9.0,Extremely stressed and burnt out.,2,1,2,15,-0.125,1
EMP00175,36,Male,Finance,15,Tokyo,4,No,1,1.0,Management is very supportive.,5,5,4,37,0.65,0
EMP00176,53,M,Marketing,10,Tokyo,3,No,3,8.0,Management expects too much.,10,3,4,41,0.2,0
EMP00177,53,female,HR,3,Berlin,4,No,5,9.0,Management expects too much.,7,5,5,43,0.2,0
EMP00178,45,Male,Operations,23,London,3,No,3,5.0,It pays the bills.,4,1,3,21,0.0,1
EMP00179,62,Male,Operations,20,London,3,No,4,7.0,Nothing special to report.,8,1,4,31,0.35714285714285715,1
EMP00180,33,Male,IT,20,New York,3,No,7,8.0,I need a long break.,6,3,3,31,-0.05,1
EMP00181,60,Male,HR,12,New York,4,No,6,2.0,Management is very supportive.,10,1,3,33,0.65,1
EMP00182,23,Male,HR,1,Remote,3,No,5,1.0,Management is very supportive.,8,4,3,38,0.65,0
EMP00183,24,male,Marketing,1,London,2,Yes,2,6.0,Average experience.,7,5,4,41,-0.15,0
EMP00184,58,Male,Marketing,10,New York,3,No,4,9.0,I need a long break.,9,4,3,40,-0.05,0
EMP00185,38,Female,Finance,18,Remote,3,Yes,4,1.0,Management is very supportive.,9,2,3,34,0.65,1
EMP00186,23,Male,Operations,15,Tokyo,4,Yes,3,1.0,I feel energized at work.,8,2,2,30,0.0,1
EMP00187,23,F,Sales,2,New York,5,No,1,4.0,I feel energized at work.,6,5,4,39,0.0,0
EMP00188,49,Female,Marketing,17,Remote,4,No,1,6.0,It pays the bills.,10,1,5,37,0.0,0
EMP00189,44,female,IT,8,London,3,No,7,6.0,Average experience.,6,3,3,31,-0.15,1
EMP00190,58,Female,IT,22,Tokyo,3,No,5,7.0,Standard corporate environment.,5,2,2,24,0.0,1
EMP00191,53,Male,IT,22,New York,4,Yes,4,10.0,Terrible work-life balance.,6,1,3,25,-1.0,1
EMP00192,54,Male,Marketing,9,London,5,Yes,0,7.0,It pays the bills.,10,3,4,41,0.0,0
EMP00193,22,Female,Marketing,21,Tokyo,3,Yes,2,4.0,Love the culture here.,6,5,2,35,0.5,1
EMP00194,40,Male,IT,20,Berlin,2,No,10,10.0,Terrible work-life balance.,2,1,3,17,-1.0,1
EMP00195,23,Female,Marketing,11,London,2,Yes,6,6.0,Work is okay.,6,4,3,34,0.5,1
EMP00196,47,Male,Sales,6,Berlin,3,No,3,6.0,It pays the bills.,10,5,3,45,0.0,0
EMP00197,53,Male,Sales,24,New York,3,No,1,4.0,I feel energized at work.,9,2,2,32,0.0,1
EMP00198,27,Female,Finance,14,Remote,5,Yes,2,4.0,Excellent benefits.,8,5,2,39,1.0,0
EMP00199,53,Female,Operations,1,New York,3,Yes,5,9.0,Management expects too much.,9,5,3,43,0.2,0
EMP00200,25,Female,Sales,7,London,3,No,6,1.0,Love the culture here.,6,3,4,33,0.5,1
EMP00201,32,Male,Finance,24,Berlin,3,No,9,5.0,Work is okay.,6,2,4,30,0.5,1
EMP00202,38,Female,HR,9,Berlin,5,No,4,9.0,I need a long break.,9,3,5,41,-0.05,0
EMP00203,59,Male,Operations,11,Tokyo,3,No,6,9.0,I am exhausted every day.,4,5,5,37,-0.4,0
EMP00204,45,Male,Sales,24,New York,3,No,5,9.0,Extremely stressed and burnt out.,4,1,2,19,-0.125,1
EMP00205,26,Female,HR,23,New York,2,No,3,2.0,Great work-life balance.,9,4,2,38,0.8,0
EMP00206,55,Male,Finance,16,London,3,No,4,7.0,Work is okay.,6,4,4,36,0.5,1
EMP00207,27,Male,Sales,19,Berlin,4,No,4,8.0,Terrible work-life balance.,8,3,5,39,-1.0,0
EMP00208,43,Male,Sales,2,London,3,No,5,1.0,Great work-life balance.,8,1,4,31,0.8,1
EMP00209,32,Male,Marketing,15,London,3,No,2,2.0,Management is very supportive.,4,4,2,28,0.65,1
EMP00210,37,Male,HR,3,Berlin,4,No,3,1.0,Great work-life balance.,4,1,3,21,0.8,1
EMP00211,54,Male,Sales,4,London,3,No,5,9.0,I need a long break.,4,3,5,31,-0.05,1
EMP00212,30,Male,IT,20,Berlin,2,No,6,7.0,Work is okay.,5,2,2,24,0.5,1
EMP00213,27,Male,Marketing,22,London,5,No,7,5.0,Work is okay.,5,1,5,27,0.5,1
EMP00214,37,Female,Marketing,7,Remote,3,No,3,4.0,Great work-life balance.,10,1,4,35,0.8,1
EMP00215,50,Male,Sales,12,London,4,No,3,8.0,I am exhausted every day.,4,2,5,28,-0.4,1
EMP00216,24,Male,Marketing,4,London,4,No,1,3.0,Management is very supportive.,10,5,2,43,0.65,0
EMP00217,41,Male,Operations,10,Remote,5,No,4,8.0,Extremely stressed and burnt out.,9,5,2,41,-0.125,0
EMP00218,57,Female,HR,6,New York,3,No,3,3.0,I feel energized at work.,8,5,2,39,0.0,0
EMP00219,40,F,Operations,22,Berlin,3,Yes,4,6.0,Work is okay.,4,3,5,31,0.5,1
EMP00220,47,Female,Finance,14,Tokyo,3,Yes,3,4.0,Excellent benefits.,4,5,3,33,1.0,1
EMP00221,24,Female,Operations,3,Remote,3,No,3,8.0,Terrible work-life balance.,8,3,3,35,-1.0,1
EMP00222,40,Female,IT,17,New York,3,No,1,9.0,I am exhausted every day.,2,2,1,16,-0.4,1
EMP00223,41,Female,Marketing,11,London,5,Yes,5,5.0,It pays the bills.,8,1,5,33,0.0,1
EMP00224,53,Female,Marketing,10,New York,4,No,6,3.0,I feel energized at work.,8,4,5,42,0.0,0
EMP00225,28,Male,IT,21,Remote,3,No,6,10.0,Terrible work-life balance.,4,4,2,28,-1.0,1
EMP00226,62,Male,Marketing,10,London,3,No,1,4.0,I feel energized at work.,10,3,5,43,0.0,0
EMP00227,54,Male,Operations,10,New York,2,Yes,2,8.0,Management expects too much.,9,3,3,37,0.2,0
EMP00228,61,male,Finance,3,Tokyo,4,No,5,5.0,It pays the bills.,4,1,4,23,0.0,1
EMP00229,60,Female,Sales,24,Berlin,3,No,4,5.0,Average experience.,9,2,3,34,-0.15,1
EMP00230,39,Female,IT,15,Berlin,3,No,4,7.0,Standard corporate environment.,3,1,2,17,0.0,1
EMP00231,61,Male,Operations,17,Remote,5,No,4,9.0,I need a long break.,9,3,3,37,-0.05,0
EMP00232,22,Female,Operations,18,London,3,No,9,6.0,Nothing special to report.,10,1,5,37,0.35714285714285715,1
EMP00233,32,Male,Operations,19,London,4,Yes,7,1.0,Love the culture here.,5,3,4,31,0.5,1
EMP00234,49,Male,Sales,19,Berlin,3,No,2,3.0,Excellent benefits.,6,4,3,34,1.0,1
EMP00235,46,M,HR,12,New York,4,No,10,4.0,Love the culture here.,6,1,2,23,0.5,1
EMP00236,44,Female,Marketing,24,London,3,Yes,2,2.0,I feel energized at work.,10,2,2,34,0.0,1
EMP00237,52,Male,Marketing,5,Tokyo,3,No,8,4.0,Great work-life balance.,4,4,5,34,0.8,1
EMP00238,51,M,Finance,24,Tokyo,5,No,7,2.0,Love the culture here.,10,2,2,34,0.5,1
EMP00239,63,Male,HR,16,London,4,No,6,6.0,Nothing special to report.,4,2,3,24,0.35714285714285715,1
EMP00240,56,female,Marketing,15,London,3,Yes,4,9.0,Extremely stressed and burnt out.,10,3,4,41,-0.125,0
EMP00241,28,Male,Finance,15,Berlin,3,No,2,1.0,Excellent benefits.,4,2,4,26,1.0,1
EMP00242,37,Male,Finance,6,Remote,1,No,3,5.0,It pays the bills.,6,5,3,37,0.0,0
EMP00243,47,Male,Operations,12,Berlin,4,No,3,9.0,I am exhausted every day.,9,2,4,36,-0.4,1
EMP00244,23,Male,IT,2,Remote,3,No,4,8.0,Terrible work-life balance.,7,1,3,27,-1.0,1
EMP00245,22,Male,Operations,20,Tokyo,4,No,4,7.0,Nothing special to report.,4,3,5,31,0.35714285714285715,1
EMP00246,33,Female,Sales,9,Remote,3,No,1,6.0,Standard corporate environment.,9,3,2,35,0.0,1
EMP00247,26,F,Marketing,4,Berlin,3,No,5,7.0,Standard corporate environment.,7,5,3,39,0.0,0
EMP00248,58,Female,Finance,5,London,4,No,6,9.0,I need a long break.,10,3,4,41,-0.05,0
EMP00249,53,Male,IT,21,Remote,3,No,7,8.0,Extremely stressed and burnt out.,2,3,3,23,-0.125,1
EMP00250,30,Female,Marketing,8,Berlin,4,Yes,7,8.0,Management expects too much.,6,4,3,34,0.2,1
EMP00251,62,Male,Finance,22,Tokyo,3,No,4,1.0,Management is very supportive.,7,4,2,34,0.65,1
